Area,Year,NumberBirths,RateBirths,NumberDeaths,RateDeaths,NumberofActiveEnterprsises,Year1Survival_Number,Year1Survival_Percent,Year2Survival_Number,Year2Survival_Percent,Year3Survival_Number,Year3Survival_Percent,Year4Survival_Number,Year4Survival_Percent,Year5Survival_Number,Year5Survival_Percent
Barking and Dagenham,2012,845,18,560,12,4580,790,93,620,73,475,56,395,47,335,40
Barnet,2012,2995,14,3035,14,22110,2615,87,2090,70,1685,56,1430,48,1225,41
Bexley,2012,895,12,870,12,7390,830,93,675,75,530,59,460,51,395,44
Brent,2012,1975,15,1545,12,13220,1810,92,1390,70,1095,55,920,47,775,39
Bromley,2012,1670,12,1410,11,13425,1555,93,1285,77,1040,62,875,52,745,45
Camden,2012,3140,12,2890,11,26460,2705,86,2175,69,1755,56,1460,46,1240,39
City of London,2012,1900,11,1655,10,16765,1435,76,1190,63,995,52,855,45,720,38
Croydon,2012,1765,14,1580,12,13020,1645,93,1300,74,1030,58,825,47,695,39
Ealing,2012,2225,15,1665,11,15065,2050,92,1635,74,1305,59,1115,50,945,42
Enfield,2012,1615,14,1430,13,11280,1485,92,1190,74,955,59,820,51,705,44
Greenwich,2012,1250,16,915,12,7665,1155,92,890,71,705,56,585,47,500,40
Hackney,2012,2140,16,1345,10,12980,1915,89,1580,74,1255,59,1050,49,930,43
Hammersmith and Fulham,2012,1885,15,1330,11,12270,1700,90,1305,69,990,53,795,42,670,36
Haringey,2012,1500,15,1200,12,10330,1370,91,1070,71,850,57,720,48,610,41
Harrow,2012,1730,14,1505,12,12375,1605,93,1290,75,1035,60,880,51,750,43
Havering,2012,1085,13,980,12,8390,1015,94,835,77,685,63,580,53,490,45
Hillingdon,2012,1490,14,1265,11,11020,1380,93,1110,75,895,60,780,52,660,44
Hounslow,2012,1820,16,1205,10,11505,1650,91,1350,74,1060,58,900,49,790,43
Islington,2012,2335,15,1590,10,15310,2080,89,1610,69,1235,53,1050,45,890,38
Kensington and Chelsea,2012,1685,13,1265,10,12570,1505,89,1160,69,910,54,765,45,655,39
Kingston upon Thames,2012,980,12,980,12,8060,910,93,775,79,645,66,575,59,490,50
Lambeth,2012,4255,29,1550,10,14820,4110,97,2870,68,1790,42,1440,34,1065,25
Lewisham,2012,1415,17,995,12,8235,1320,93,1065,75,835,59,710,50,600,42
Merton,2012,1530,15,1190,12,9880,1405,92,1105,72,875,57,760,50,650,42
Newham,2012,1575,20,1085,14,7750,1450,92,1070,68,820,52,685,43,580,37
Redbridge,2012,1830,16,1570,14,11240,1660,91,1295,71,1025,56,860,47,730,40
Richmond upon Thames,2012,1595,13,1275,10,12705,1465,92,1210,76,970,61,855,54,730,46
Southwark,2012,1995,14,1665,12,13875,1780,89,1415,71,1100,55,920,46,795,40
Sutton,2012,910,12,835,11,7480,845,93,700,77,575,63,475,52,410,45
Tower Hamlets,2012,2395,17,1680,12,13740,2120,89,1660,69,1285,54,1030,43,860,36
Waltham Forest,2012,1385,17,1090,13,8265,1275,92,985,71,750,54,620,45,520,38
Wandsworth,2012,2370,15,1840,12,15800,2160,91,1765,75,1365,58,1130,48,945,40
Westminster,2012,6915,14,5205,10,49825,5585,81,4440,64,3515,51,2920,42,2460,36